Sample,Raw reads,Raw bases,Q30(%),GC(%),Duplication(%)
9-84,839683500,5597890,97.5,55.1,9.8
9F,878962200,5859748,94.7,52.6,6.4
9-125,1213955400,8093036,94.6,52.7,8.6
9M,1336503000,8910020,94.8,52.9,9.1
9-144,1413685500,9424570,95.3,52.9,9.6
9-116,1306250100,8708334,95.4,52.8,8.8
9-51,1481268600,9875124,94.0,52.8,8.5
16-5,1366403100,9109354,95.5,53.1,9.8
9-113,1287702600,8584684,94.7,52.8,9.0
9-65,1190096400,7933976,94.6,52.9,8.6
9-154,1348377300,8989182,95.0,52.8,9.0
9-20,1355901600,9039344,94.5,52.8,9.1
9-123,1453875900,9692506,95.1,52.9,9.1
9-26,1242300000,8282000,94.7,52.7,8.8
9-115,1442443800,9616292,94.8,52.8,8.5
9-143,1434003300,9560022,94.5,52.6,8.3
9-21,1484591100,9897274,94.9,52.9,9.5
9-108,1372341300,9148942,95.4,53.0,9.8
9-55,2174763000,14498420,95.1,52.4,9.6
9-56,1288468800,8589792,94.6,52.9,8.4
9-111,1349367300,8995782,95.1,52.9,9.1
9-124,1378603500,9190690,95.2,52.8,9.2
9-86,2605632000,17370880,94.6,52.4,8.6
9-16,2586499500,17243330,94.9,52.5,9.6
16-21,1085792700,7238618,95.6,52.8,9.0
9-3,1394770200,9298468,95.0,52.7,9.0
9-6,1421419500,9476130,95.3,52.8,9.5
16-33,1268465700,8456438,95.8,53.3,10.4
16-120,1181387700,7875918,95.8,53.8,10.3
9-5,1459228200,9728188,95.4,52.9,9.7
16M,1324981200,8833208,95.0,52.9,8.8
16-146,1953713400,13024756,96.3,53.6,10.7
16-122,1274048100,8493654,96.8,54.2,14.1
16F,1458840900,9725606,95.4,52.9,9.9
16-93,1783597800,11890652,97.5,55.3,10.6
16-161,1181806200,7878708,94.7,52.9,8.3
16-182,1357731600,9051544,95.6,53.6,9.4
16-25,1798862400,11992416,95.2,52.8,9.3
16-119,1298892600,8659284,95.3,53.8,10.4
16-183,1340655900,8937706,94.9,53.0,9.7
16-176,1330394400,8869296,95.5,53.3,9.5
16-88,1051498800,7009992,95.6,53.9,9.8
16-201,1413471900,9423146,95.1,53.1,9.3
16-95,1051635900,7010906,96.0,53.3,9.7
16-200,1227592200,8183948,95.3,53.5,9.9
