Sample,nRefHom,nNonRefHom,nHets,nMissing,nSingletons,nTransitions,nTransversions
16-119,13241,7096,1421,1331,5,6323,2193
16-120,13462,7406,861,1358,3,6143,2123
16-122,13645,7174,936,1334,3,6011,2099
16-146,13211,7317,1311,1248,3,6388,2240
16-161,13288,7855,598,1348,3,6268,2184
16-176,13770,7635,371,1313,5,5935,2070
16-182,13256,7398,1109,1326,2,6314,2193
16-183,13396,7220,1146,1328,3,6203,2162
16-200,13267,7311,1148,1361,2,6287,2172
16-201,13206,6996,1589,1298,2,6374,2211
16-21,13534,7320,910,1326,17,6091,2138
16-25,13744,7571,475,1299,3,5959,2086
16-33,13248,7417,1061,1363,1,6296,2182
16-5,13307,7198,1281,1303,0,6276,2202
16-88,13703,7105,928,1353,1,5950,2083
16-93,13341,7314,1143,1292,14,6268,2188
16-95,13739,7109,892,1348,1,5939,2061
16F,13979,7665,94,1350,1,5770,1988
16M,13786,7776,131,1395,30,5860,2046
9-108,13081,6802,1968,1236,2,6547,2222
9-111,12803,6759,2304,1223,3,6759,2303
9-113,14312,7345,103,1331,3,5522,1924
9-115,12711,6245,2999,1136,5,6902,2342
9-116,14304,7353,105,1329,6,5528,1930
9-123,14297,7350,105,1340,3,5528,1926
9-124,14289,7337,109,1356,3,5514,1930
9-125,12827,7312,1674,1277,2,6697,2287
9-143,13188,6932,1742,1230,4,6492,2181
9-144,14290,7353,104,1343,2,5524,1932
9-154,12916,6789,2146,1239,0,6671,2262
9-16,13180,6656,2143,1110,6,6565,2234
9-20,12819,6059,3017,1195,1,6785,2291
9-21,12453,6054,3426,1156,2,7061,2419
9-26,13000,6957,1851,1280,2,6555,2253
9-3,13014,6644,2226,1205,2,6604,2266
9-5,13083,7250,1535,1220,7,6556,2228
9-51,13073,6349,2478,1189,1,6579,2246
9-55,12711,6280,2955,1143,0,6891,2344
9-56,12974,7132,1727,1257,1,6591,2267
9-6,12400,6638,2877,1174,6,7094,2419
9-65,12362,6468,3029,1230,2,7057,2439
9-84,12558,6368,2875,1288,2,6884,2358
9-86,12981,7098,1840,1168,4,6653,2284
9F,13947,7646,92,1404,1,5756,1981
9M,13973,7655,98,1361,2,5759,1993
