Sample,nRefHom,nInsHets,nDelHets,nInsAltHoms,nDelAltHoms,nMissing,nSingletons
16-119,33,7,8,41,60,14,0
16-120,37,8,3,43,60,12,0
16-122,38,9,5,40,60,11,0
16-146,33,7,9,45,62,7,0
16-161,37,3,3,47,60,13,0
16-176,41,5,1,42,63,11,0
16-182,35,5,7,45,60,11,0
16-183,36,10,4,39,62,12,0
16-200,37,8,4,42,60,12,0
16-201,34,9,8,41,59,12,0
16-21,37,5,4,42,64,11,1
16-25,38,8,2,41,65,9,0
16-33,33,7,7,41,60,15,0
16-5,33,9,8,40,60,13,0
16-88,38,9,2,39,62,13,0
16-93,37,4,7,42,61,12,0
16-95,41,7,4,39,60,12,0
16F,43,1,1,45,62,11,0
16M,47,1,1,41,60,13,0
9-108,36,5,15,44,56,7,0
9-111,27,5,18,51,58,4,0
9-113,49,1,2,41,59,11,0
9-115,28,8,20,44,54,9,0
9-116,48,1,2,41,58,13,0
9-123,48,1,1,41,58,14,0
9-124,48,1,2,41,58,13,0
9-125,29,5,14,48,60,7,0
9-143,38,7,13,45,54,6,0
9-144,46,2,1,41,58,15,0
9-154,28,12,16,44,55,8,0
9-16,28,12,21,42,53,7,0
9-20,29,11,19,43,53,8,0
9-21,25,16,19,45,54,4,0
9-26,32,7,7,49,62,6,0
9-3,34,9,15,44,54,7,0
9-5,28,6,15,49,58,7,0
9-51,32,8,17,46,52,8,0
9-55,24,15,18,44,52,10,0
9-56,29,7,13,50,60,4,0
9-6,21,11,21,49,56,5,0
9-65,31,12,18,41,54,7,0
9-84,27,10,17,45,54,10,0
9-86,28,7,12,50,61,5,0
9F,42,1,1,45,62,12,0
9M,44,1,1,45,62,10,0
