Type,Downstream,Exon,Intergenic,Intron,Splice Site Acceptor,Splice Site Donor,Splice Site Region,Transcript,Upstream,UTR 3 Prime
16-119,17,0,0,17,0,0,0,0,10,4
16-120,18,0,0,15,0,0,0,0,9,4
16-122,16,0,0,18,0,0,1,0,8,4
16-146,17,0,0,18,0,0,0,0,10,4
16-161,16,0,0,15,0,0,0,0,9,4
16-176,16,0,0,16,0,0,0,0,11,4
16-182,16,0,0,19,0,0,0,0,9,4
16-183,17,0,0,17,0,0,0,0,11,4
16-200,17,0,0,17,0,0,0,0,9,4
16-201,16,0,0,17,0,0,0,0,10,5
16-21,15,0,0,17,0,0,0,0,8,4
16-25,17,0,0,16,0,0,0,0,10,4
16-33,18,0,0,17,0,0,0,0,11,4
16-5,16,0,0,18,0,0,0,0,9,4
16-88,16,0,0,17,0,0,0,0,9,4
16-93,17,0,0,17,0,0,0,0,10,4
16-95,13,0,0,17,0,0,0,0,10,4
16F,16,0,0,16,0,0,0,0,8,4
16M,13,0,0,16,0,0,0,0,8,3
9-108,21,0,0,14,0,0,0,0,12,3
9-111,19,0,0,19,0,0,1,0,11,3
9-113,13,0,0,16,0,0,0,0,9,5
9-115,21,0,0,17,0,0,0,0,10,3
9-116,13,0,0,17,0,0,0,0,9,5
9-123,12,0,0,19,0,0,0,0,9,5
9-124,12,0,0,16,0,0,0,0,9,5
9-125,18,0,0,18,0,0,0,0,11,3
9-143,18,0,0,14,0,0,0,0,12,3
9-144,12,0,0,17,0,0,0,0,10,5
9-154,19,0,0,16,0,0,0,0,10,3
9-16,20,0,0,16,0,0,0,0,11,4
9-20,20,0,0,17,0,0,0,0,11,4
9-21,21,0,0,17,0,0,0,0,14,4
9-26,15,0,0,19,0,0,0,0,11,4
9-3,19,0,0,17,0,0,0,0,9,3
9-5,19,0,0,17,0,0,0,0,11,3
9-51,18,0,0,15,0,0,0,0,14,3
9-55,21,0,0,16,0,0,0,0,12,3
9-56,21,0,0,17,0,0,0,0,13,2
9-6,19,0,0,18,0,0,0,0,14,4
9-65,20,0,0,16,0,0,0,0,11,4
9-84,21,0,0,18,0,0,0,0,10,4
9-86,19,0,0,15,0,0,0,0,13,3
9F,16,0,0,16,0,0,0,0,8,5
9M,17,0,0,17,0,0,0,0,8,4
